o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
MOVE PLACE_2_3 PLACE_2_4,0.5,0.15,0.7,0.9500000000000001,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.5,0.2,0.67,1.0299999999999998,6,9,NaN,N
MOVE PLACE_2_5 PLACE_3_5,0.33,0.05,0.33,1.0499999999999998,5,8,NaN,N
MOVE PLACE_3_5 PLACE_4_5,0.33,0.01,0.33,1.01,4,7,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.33,0.04,0.33,1.04,3,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.33,0.11,0.33,1.1099999999999999,2,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.33,0.33,0.33,1.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.33,1.0,0.0,2.33,0,-1,NaN,Y
MOVE PLACE_4_9 PLACE_4_10,0.33,0.0,0.28,1.05,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.33,0.0,0.33,1.0,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_5_11,1.0,0.0,1.0,1.0,-1,0,NaN,N
