o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
MOVE PLACE_2_3 PLACE_3_3,0.5,0.02,0.75,0.77,7,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.33,0.03,0.33,1.0299999999999998,6,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.33,0.05,0.33,1.0499999999999998,5,8,NaN,N
MOVE PLACE_3_5 PLACE_4_5,0.33,0.01,0.33,1.01,4,7,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.33,0.04,0.33,1.04,3,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.33,0.11,0.33,1.1099999999999999,2,5,NaN,N
MOVE PLACE_4_7 PLACE_5_7,0.5,0.0,0.06,1.44,-1,4,NaN,N
MOVE PLACE_5_7 PLACE_5_8,0.5,0.0,0.12,1.38,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.5,0.0,0.25,1.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.5,0.0,0.5,1.0,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,1.0,0.0,1.0,1.0,-1,0,NaN,N
