o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
MOVE PLACE_2_3 PLACE_3_3,0.62,0.78,0.67,0.8,0.2,0.01,9.0,12.0,0.31,0.5,0.44,0.58,2.0,N
MOVE PLACE_3_3 PLACE_3_4,0.62,0.71,0.67,0.74,0.2,0.01,9.0,12.0,0.38,0.55,0.5,0.62,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.62,0.72,0.67,0.75,0.2,0.01,9.0,12.0,0.44,0.45,0.56,0.54,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.5,0.62,0.57,0.67,0.2,0.16,9.0,12.0,0.5,0.5,0.61,0.58,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.5,0.53,0.57,0.59,0.2,0.16,9.0,12.0,0.56,0.55,0.67,0.62,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.33,0.56,0.31,0.61,0.2,0.16,9.0,12.0,0.38,0.59,0.5,0.67,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.33,0.43,0.31,0.53,0.33,0.16,9.0,12.0,0.44,0.64,0.56,0.71,2.0,N
MOVE PLACE_3_9 PLACE_3_10,0.29,0.4,0.27,0.47,0.17,0.16,11.0,12.0,0.5,0.5,0.59,0.58,2.0,N
MOVE PLACE_3_10 PLACE_3_11,0.38,0.27,0.44,0.25,0.14,0.27,13.0,12.0,0.71,0.55,0.77,0.62,2.0,N
MOVE PLACE_3_11 PLACE_4_11,0.25,0.27,0.24,0.25,0.25,0.27,13.0,12.0,0.58,0.59,0.65,0.67,2.0,N
MOVE PLACE_4_11 PLACE_5_11,0.24,0.25,0.32,0.33,0.13,0.35,15.0,12.0,0.68,0.45,0.73,0.5,2.0,N
