o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
MOVE PLACE_2_3 PLACE_2_4,0.5,0.15,0.7,0.9500000000000001,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.5,0.2,0.67,1.0299999999999998,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.5,0.26,0.62,1.1400000000000001,5,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.5,0.3,0.54,1.26,4,7,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.5,0.26,0.44,1.32,3,6,NaN,N
MOVE PLACE_2_8 PLACE_2_9,0.5,0.17,0.31,1.3599999999999999,2,5,NaN,N
MOVE PLACE_2_9 PLACE_2_10,0.5,0.0,0.16,1.3399999999999999,-1,4,NaN,N
MOVE PLACE_2_10 PLACE_2_11,0.5,0.0,0.06,1.44,-1,3,NaN,N
MOVE PLACE_2_11 PLACE_3_11,0.33,0.0,0.11,1.22,-1,2,NaN,N
MOVE PLACE_3_11 PLACE_4_11,0.33,0.0,0.33,1.0,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_5_11,1.0,0.0,1.0,1.0,-1,0,NaN,N
