o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
MOVE PLACE_2_3 PLACE_2_4,0.5,0.15,0.7,0.9500000000000001,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.5,0.2,0.67,1.0299999999999998,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.5,0.26,0.62,1.1400000000000001,5,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.5,0.3,0.54,1.26,4,7,NaN,N
MOVE PLACE_2_7 PLACE_3_7,0.33,0.15,0.31,1.17,3,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.33,0.22,0.28,1.27,2,5,NaN,N
MOVE PLACE_3_8 PLACE_4_8,0.33,0.33,0.33,1.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.33,1.0,0.0,2.33,0,-1,NaN,Y
MOVE PLACE_4_9 PLACE_4_10,0.33,0.0,0.28,1.05,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_5_10,0.5,0.0,0.5,1.0,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,1.0,0.0,1.0,1.0,-1,0,NaN,N
