o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
MOVE PLACE_2_3 PLACE_3_3,0.5,0.02,0.75,0.77,7,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.33,0.03,0.33,1.0299999999999998,6,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.33,0.05,0.33,1.0499999999999998,5,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.33,0.09,0.32,1.1,4,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.33,0.15,0.31,1.17,3,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.33,0.22,0.28,1.27,2,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.33,0.33,0.24,1.42,1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.33,0.0,0.17,1.16,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_4_10,0.33,0.0,0.28,1.05,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_5_10,0.5,0.0,0.5,1.0,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,1.0,0.0,1.0,1.0,-1,0,NaN,N
