ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.29,0.1,0.46,0.25,0.46,0.31,5.0,9.0,0.0,0.25,0.0,0.28,2.0,N
PICKUP PLACE_0_0 KEY_1,0.25,0.11,0.36,0.25,0.42,0.31,6.0,9.0,0.2,0.25,0.08,0.22,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.22,0.22,0.29,0.25,0.4,0.28,7.0,10.0,0.17,0.22,0.14,0.35,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.22,0.13,0.29,0.22,0.4,0.31,7.0,10.0,0.17,0.33,0.14,0.45,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.2,0.23,0.25,0.22,0.37,0.3,8.0,11.0,0.14,0.35,0.25,0.45,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.21,0.15,0.29,0.22,0.42,0.3,8.0,11.0,0.14,0.4,0.25,0.5,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.26,0.14,0.35,0.24,0.46,0.3,8.0,11.0,0.0,0.25,0.12,0.36,1.0,Y
MOVE PLACE_3_0 PLACE_3_1,0.0,0.0,0.32,0.25,0.36,0.38,8.0,11.0,0.33,0.3,0.4,0.41,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.07,0.14,0.29,0.28,0.38,0.38,8.0,11.0,0.35,0.35,0.45,0.45,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.12,0.27,0.26,0.3,0.33,0.38,8.0,11.0,0.42,0.2,0.5,0.27,2.0,N
PICKUP PLACE_0_0 KEY_0,0.29,0.1,0.46,0.25,0.46,0.31,5.0,9.0,0.0,0.25,0.0,0.28,2.0,N
PICKUP PLACE_0_0 KEY_1,0.25,0.11,0.36,0.25,0.42,0.31,6.0,9.0,0.2,0.25,0.08,0.22,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.25,0.11,0.36,0.25,0.45,0.32,6.0,9.0,0.0,0.25,0.0,0.39,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.22,0.18,0.29,0.25,0.4,0.32,7.0,10.0,0.17,0.28,0.14,0.4,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.24,0.17,0.33,0.25,0.45,0.32,7.0,10.0,0.0,0.33,0.14,0.45,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.27,0.15,0.4,0.27,0.5,0.32,7.0,10.0,0.0,0.17,0.0,0.3,1.0,Y
MOVE PLACE_3_0 PLACE_3_1,0.0,0.0,0.36,0.28,0.39,0.4,7.0,10.0,0.25,0.22,0.33,0.35,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.08,0.15,0.32,0.31,0.4,0.4,7.0,10.0,0.28,0.28,0.4,0.4,2.0,N
