o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
SAIL L4 L2,0.5,0.06,0.01,1.55,3,9,0.33,N
SAIL L2 L1,0.33,0.11,0.01,1.43,2,8,0.5,N
BOARD C1 L1,0.33,0.3,0.01,1.62,4,8,0.33,N
SAIL L1 L3,0.33,1.0,0.0,2.33,0,-1,0.33,Y
SAIL L3 L4,0.5,0.0,0.01,1.49,9,8,0.33,N
DEBARK C1 L4,0.33,0.01,0.0,1.34,10,19,0.33,N
SAIL L4 L1,0.33,0.02,0.0,1.35,8,17,0.33,N
BOARD C2 L1,0.33,0.06,0.0,1.3900000000000001,7,16,0.17,N
SAIL L1 L4,0.33,0.04,0.06,1.31,6,9,0.17,N
SAIL L4 L2,0.5,0.07,0.03,1.54,7,16,0.0,N
DEBARK C2 L2,1.0,0.0,1.0,1.0,-1,0,0.17,N
