o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L1,0.5,0.2,0.3,0.21,0.52,0.31,4.0,9.0,0.0,0.06,0.25,0.39,0.75,N
BOARD C1 L1,0.5,0.2,0.45,0.22,0.52,0.23,4.0,9.0,0.0,0.19,0.0,0.44,1.0,N
SAIL L1 L3,0.43,0.18,0.42,0.11,0.45,0.21,5.0,10.0,0.0,0.44,0.2,0.5,1.0,N
DEBARK C1 L3,0.33,0.15,0.19,0.12,0.35,0.22,7.0,12.0,0.42,0.32,0.57,0.54,1.25,N
SAIL L3 L2,0.2,0.14,0.18,0.08,0.27,0.16,9.0,13.0,0.5,0.29,0.5,0.58,1.25,N
SAIL L2 L1,0.18,0.11,0.17,0.08,0.25,0.16,10.0,13.0,0.61,0.5,0.55,0.62,0.75,N
BOARD C2 L1,0.15,0.14,0.21,0.08,0.2,0.16,12.0,13.0,0.59,0.79,0.67,0.85,0.75,N
SAIL L1 L3,0.08,0.11,0.17,0.08,0.22,0.17,12.0,13.0,0.64,0.71,0.62,0.77,1.25,N
DEBARK C2 L3,0.08,0.14,0.12,0.08,0.22,0.17,12.0,13.0,0.68,0.71,0.75,0.77,1.25,N
BOARD C1 L3,0.08,0.11,0.2,0.08,0.22,0.17,12.0,13.0,0.59,0.71,0.67,0.77,1.0,N
SAIL L3 L2,0.13,0.07,0.19,0.12,0.21,0.2,13.0,13.0,0.62,0.75,0.69,0.77,1.0,N
DEBARK C1 L2,0.06,0.07,0.1,0.12,0.18,0.2,15.0,13.0,0.75,0.67,0.8,0.69,1.25,N
