o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
SAIL L4 L1,0.25,0.0,0.0,1.25,-1,11,0.6,N
BOARD C1 L1,0.33,0.67,0.0,2.0,2,7,0.4,N
SAIL L1 L3,0.33,0.25,0.0,1.58,3,16,0.2,N
DEBARK C1 L3,0.33,0.01,0.0,1.34,8,11,0.2,N
SAIL L3 L2,0.5,0.01,0.0,1.51,7,10,0.2,N
SAIL L2 L1,0.5,0.01,0.0,1.51,6,9,0.4,N
BOARD C2 L1,0.33,0.02,0.01,1.34,5,8,0.2,N
SAIL L1 L2,0.33,0.02,0.01,1.34,5,8,0.0,N
SAIL L2 L3,0.5,0.06,0.01,1.55,5,9,0.0,N
DEBARK C2 L3,0.25,0.13,0.0,1.38,5,18,0.2,N
BOARD C1 L3,0.33,0.54,0.0,1.87,4,17,0.2,N
SAIL L3 L2,0.33,0.4,0.01,1.72,4,16,0.2,N
DEBARK C1 L2,1.0,0.0,1.0,1.0,-1,0,0.2,N
