o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L2,0.43,0.18,0.37,0.2,0.43,0.28,5.0,10.0,0.12,0.11,0.4,0.45,0.75,N
SAIL L2 L1,0.33,0.18,0.27,0.18,0.45,0.28,5.0,10.0,0.12,0.17,0.4,0.45,0.5,N
BOARD C1 L1,0.29,0.18,0.26,0.2,0.35,0.21,7.0,10.0,0.33,0.28,0.36,0.5,0.5,N
SAIL L1 L3,0.26,0.17,0.32,0.1,0.26,0.19,9.0,11.0,0.44,0.5,0.56,0.55,0.5,N
SAIL L3 L4,0.18,0.09,0.3,0.1,0.23,0.19,10.0,11.0,0.5,0.7,0.6,0.82,0.5,N
DEBARK C1 L4,0.09,0.13,0.24,0.1,0.25,0.19,10.0,11.0,0.61,0.7,0.55,0.82,0.5,N
SAIL L4 L1,0.09,0.08,0.16,0.1,0.26,0.2,10.0,11.0,0.61,0.65,0.7,0.73,0.5,N
BOARD C2 L1,0.09,0.08,0.25,0.1,0.26,0.2,10.0,11.0,0.5,0.65,0.6,0.73,0.75,N
SAIL L1 L3,0.08,0.04,0.24,0.14,0.24,0.23,11.0,11.0,0.55,0.7,0.64,0.73,0.75,N
DEBARK C2 L3,0.0,0.08,0.12,0.14,0.21,0.23,13.0,11.0,0.71,0.6,0.77,0.64,0.5,N
