o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
MOVE PLACE_2_3 PLACE_2_4,0.71,0.34,0.75,0.42,0.2,0.16,9.0,12.0,0.31,0.45,0.44,0.54,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.64,0.29,0.73,0.38,0.2,0.16,9.0,12.0,0.38,0.5,0.5,0.58,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.52,0.29,0.64,0.38,0.2,0.16,9.0,12.0,0.44,0.45,0.56,0.54,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.5,0.33,0.57,0.41,0.2,0.16,9.0,12.0,0.5,0.36,0.61,0.46,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.5,0.39,0.57,0.46,0.2,0.16,9.0,12.0,0.31,0.36,0.44,0.46,2.0,N
MOVE PLACE_2_8 PLACE_2_9,0.38,0.38,0.57,0.44,0.33,0.16,9.0,12.0,0.38,0.45,0.5,0.54,2.0,N
MOVE PLACE_2_9 PLACE_2_10,0.33,0.29,0.31,0.38,0.33,0.27,9.0,12.0,0.44,0.45,0.56,0.54,2.0,N
MOVE PLACE_2_10 PLACE_2_11,0.41,0.27,0.49,0.3,0.29,0.27,11.0,12.0,0.5,0.5,0.59,0.58,2.0,N
MOVE PLACE_2_11 PLACE_2_12,0.38,0.27,0.44,0.25,0.14,0.27,13.0,12.0,0.54,0.55,0.62,0.62,2.0,N
MOVE PLACE_2_12 PLACE_2_13,0.33,0.26,0.4,0.25,0.13,0.27,15.0,12.0,0.71,0.41,0.77,0.5,2.0,N
MOVE PLACE_2_13 PLACE_2_14,0.38,0.26,0.43,0.33,0.11,0.35,17.0,12.0,0.72,0.45,0.76,0.5,2.0,N
