ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICK-UP O,0.31,0.33,0.4,0.4,0.56,0.56,5.0,5.0,0.0,0.0,0.1,0.1,0.5,N,[255.0]
STACK O P,0.22,0.29,0.32,0.43,0.49,0.54,7.0,5.0,0.25,0.0,0.36,0.2,0.33,N,[307.0]
PICK-UP W,0.18,0.0,0.28,0.36,0.41,0.42,9.0,7.0,0.44,0.33,0.5,0.43,0.33,N,[444.0]
STACK W O,0.08,0.0,0.24,0.29,0.34,0.33,11.0,9.0,0.6,0.5,0.64,0.56,0.33,N,[653.0]
PICK-UP C,0.0,0.0,0.2,0.25,0.32,0.29,13.0,11.0,0.62,0.6,0.65,0.64,0.33,N,[867.0]
STACK C W,0.0,-0.15,0.18,0.22,0.28,0.25,15.0,13.0,0.68,0.67,0.7,0.69,0.33,N,[1225.0]
PICK-UP W,0.25,0.12,0.3,0.3,0.49,0.5,7.0,7.0,0.25,0.25,0.07,0.14,0.33,N,[323.0]
STACK W P,0.22,0.0,0.35,0.25,0.59,0.4,7.0,9.0,0.25,0.44,0.14,0.44,0.33,Y,[418.0]
PICK-UP O,0.22,0.17,0.37,0.17,0.58,0.33,7.0,11.0,0.0,0.6,0.0,0.5,0.5,Y,[544.0]
STACK O W,0.0,0.14,0.43,0.14,0.53,0.29,7.0,13.0,0.0,0.67,0.0,0.58,0.67,Y,[710.0]
PICK-UP C,0.0,0.12,0.5,0.13,0.57,0.25,7.0,15.0,0.0,0.71,0.0,0.63,0.83,Y,[928.0]
STACK C O,0.0,0.11,0.56,0.11,0.62,0.22,7.0,17.0,0.0,0.75,0.0,0.68,1.0,Y,[1218.0]
PICK-UP O,0.31,0.33,0.4,0.4,0.56,0.56,5.0,5.0,0.0,0.0,0.1,0.1,0.5,N,[259.0]
STACK O P,0.22,0.29,0.32,0.43,0.49,0.54,7.0,5.0,0.25,0.0,0.36,0.2,0.33,N,[331.0]
PICK-UP C,0.1,0.29,0.28,0.43,0.41,0.54,9.0,5.0,0.5,0.0,0.56,0.0,0.5,N,[393.0]
STACK C O,0.15,0.4,0.24,0.51,0.37,0.56,11.0,5.0,0.55,0.0,0.59,0.0,0.67,N,[529.0]
PICK-UP W,0.0,0.22,0.2,0.42,0.32,0.5,13.0,5.0,0.67,0.0,0.69,0.0,0.67,N,[734.0]
STACK W C,0.0,0.11,0.18,0.45,0.28,0.5,15.0,5.0,0.71,0.0,0.73,0.0,0.67,N,[956.0]
PICK-UP O,0.31,0.33,0.4,0.4,0.56,0.56,5.0,5.0,0.0,0.0,0.1,0.1,0.5,N,[240.0]
STACK O P,0.22,0.29,0.32,0.43,0.49,0.54,7.0,5.0,0.25,0.0,0.36,0.2,0.33,N,[301.0]
PICK-UP C,0.1,0.29,0.28,0.43,0.41,0.54,9.0,5.0,0.5,0.0,0.56,0.0,0.5,N,[401.0]
STACK C O,0.15,0.4,0.24,0.51,0.37,0.56,11.0,5.0,0.55,0.0,0.59,0.0,0.67,N,[537.0]
PICK-UP O,0.31,0.33,0.4,0.4,0.56,0.56,5.0,5.0,0.0,0.0,0.1,0.1,0.5,N,[249.0]
STACK O P,0.22,0.29,0.32,0.43,0.49,0.54,7.0,5.0,0.25,0.0,0.36,0.2,0.33,N,[295.0]
PICK-UP C,0.1,0.29,0.28,0.43,0.41,0.54,9.0,5.0,0.5,0.0,0.56,0.0,0.5,N,[382.0]
STACK C O,0.15,0.4,0.24,0.51,0.37,0.56,11.0,5.0,0.55,0.0,0.59,0.0,0.67,N,[511.0]
PICK-UP W,0.0,0.22,0.2,0.42,0.32,0.5,13.0,5.0,0.67,0.0,0.69,0.0,0.67,N,[733.0]
PICK-UP P,0.12,0.25,0.3,0.3,0.5,0.49,7.0,7.0,0.25,0.25,0.14,0.07,0.33,N,[319.0]
STACK P W,0.0,0.22,0.25,0.35,0.4,0.59,9.0,7.0,0.44,0.25,0.44,0.14,0.33,N,[421.0]
PICK-UP O,0.17,0.22,0.17,0.37,0.33,0.58,11.0,7.0,0.6,0.0,0.5,0.0,0.33,N,[541.0]
STACK O P,0.14,0.0,0.14,0.43,0.29,0.53,13.0,7.0,0.67,0.0,0.58,0.0,0.33,N,[680.0]
PICK-UP C,0.12,0.0,0.13,0.5,0.25,0.57,15.0,7.0,0.71,0.0,0.63,0.0,0.5,N,[885.0]
STACK C O,0.11,0.0,0.11,0.56,0.22,0.62,17.0,7.0,0.75,0.0,0.68,0.0,0.67,N,[1178.0]
