o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.25,0.33,0.36,0.38,0.41,0.37,6.0,7.0,0.0,0.08,0.0,0.21,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.25,0.77,0.33,0.68,0.4,0.29,7.0,8.0,0.0,0.14,0.14,0.19,2.0,N
PICKUP PLACE_0_0 KEY_1,0.26,0.73,0.29,0.68,0.36,0.28,8.0,9.0,0.14,0.31,0.31,0.39,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.2,0.3,0.25,0.28,0.36,0.3,8.0,9.0,0.21,0.25,0.38,0.39,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.2,0.18,0.33,0.24,0.37,0.33,8.0,9.0,0.14,0.31,0.25,0.44,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.13,0.29,0.2,0.19,0.31,0.29,10.0,11.0,0.28,0.45,0.35,0.55,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.27,0.18,0.23,0.23,0.27,12.0,12.0,0.55,0.45,0.58,0.5,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.53,0.14,0.5,0.2,0.26,0.27,13.0,12.0,0.5,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.13,0.15,0.18,0.2,0.25,0.27,13.0,12.0,0.46,0.45,0.5,0.5,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.14,0.26,0.19,0.23,0.25,0.31,13.0,12.0,0.42,0.41,0.5,0.5,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.13,0.25,0.22,0.23,0.3,0.35,13.0,12.0,0.46,0.45,0.54,0.5,2.0,N
