o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.25,0.33,0.36,0.38,0.41,0.37,6.0,7.0,0.0,0.08,0.0,0.21,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.25,0.77,0.33,0.68,0.4,0.29,7.0,8.0,0.0,0.14,0.14,0.19,2.0,N
PICKUP PLACE_0_0 KEY_1,0.26,0.73,0.29,0.68,0.36,0.28,8.0,9.0,0.14,0.31,0.31,0.39,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.2,0.3,0.25,0.28,0.36,0.3,8.0,9.0,0.21,0.25,0.38,0.39,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.19,0.57,0.25,0.5,0.34,0.29,9.0,10.0,0.31,0.33,0.44,0.45,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.25,0.17,0.29,0.2,0.34,0.31,9.0,10.0,0.25,0.39,0.33,0.5,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.15,0.27,0.17,0.2,0.29,0.27,11.0,12.0,0.35,0.5,0.41,0.58,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.25,0.16,0.18,0.23,0.25,13.0,13.0,0.58,0.54,0.62,0.62,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.13,0.45,0.18,0.24,0.25,14.0,13.0,0.54,0.54,0.61,0.62,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.12,0.14,0.16,0.18,0.24,0.25,14.0,13.0,0.46,0.5,0.54,0.54,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.12,0.24,0.17,0.21,0.24,0.33,14.0,13.0,0.46,0.46,0.54,0.54,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.13,0.24,0.2,0.21,0.32,0.33,14.0,13.0,0.5,0.5,0.57,0.54,2.0,N
