o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.05,0.04,1.3399999999999999,6,9,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.06,0.06,1.5,5,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.07,0.06,1.3399999999999999,6,9,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.1,0.2,1.23,5,7,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.18,0.12,1.3900000000000001,5,9,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.09,0.11,1.48,8,10,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.09,0.12,1.47,8,10,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.02,0.24,1.28,9,8,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.02,0.24,1.28,10,8,0.0,N
MOVE PLACE_3_2 PLACE_3_3,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_3 PLACE_2_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
