o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.25,0.56,0.36,0.57,0.41,4.0,6.0,0.0,0.0,0.0,0.0,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.31,0.25,0.38,0.33,0.5,0.4,5.0,7.0,0.0,0.0,0.0,0.14,2.0,N
PICKUP PLACE_0_0 KEY_1,0.33,0.26,0.35,0.29,0.44,0.36,6.0,8.0,0.0,0.14,0.08,0.31,2.0,N
MOVE PLACE_0_0 PLACE_0_1,0.2,0.25,0.28,0.29,0.36,0.27,8.0,10.0,0.21,0.28,0.31,0.4,2.0,N
MOVE PLACE_0_1 PLACE_0_2,0.22,0.17,0.24,0.21,0.31,0.31,10.0,10.0,0.33,0.33,0.45,0.45,2.0,N
MOVE PLACE_0_2 PLACE_0_3,0.53,0.17,0.54,0.21,0.22,0.31,12.0,10.0,0.5,0.39,0.54,0.5,2.0,N
MOVE PLACE_0_3 PLACE_1_3,0.27,0.17,0.26,0.21,0.23,0.31,12.0,10.0,0.45,0.33,0.54,0.4,2.0,N
MOVE PLACE_1_3 PLACE_2_3,0.14,0.17,0.19,0.29,0.27,0.36,12.0,10.0,0.5,0.33,0.58,0.4,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.16,0.07,0.21,0.23,0.2,0.27,14.0,12.0,0.54,0.45,0.57,0.5,2.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.41,0.13,0.43,0.2,0.22,0.25,15.0,13.0,0.57,0.42,0.63,0.5,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.12,0.0,0.15,0.23,0.23,0.3,15.0,13.0,0.61,0.46,0.67,0.54,2.0,N
MOVE PLACE_2_3 PLACE_2_2,0.12,0.1,0.21,0.23,0.22,0.33,15.0,13.0,0.57,0.5,0.6,0.54,2.0,N
