o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.1,0.04,1.56,4,11,1.0,N
PICKUP PLACE_0_0 KEY_0,0.5,0.12,0.07,1.5499999999999998,3,10,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.13,0.06,1.4,4,11,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.21,0.17,1.37,3,10,0.0,N
MOVE PLACE_1_0 PLACE_1_1,0.5,0.11,0.2,1.4100000000000001,5,10,0.0,N
MOVE PLACE_1_1 PLACE_1_2,0.5,0.06,0.06,1.5,6,7,0.0,N
MOVE PLACE_1_2 PLACE_1_3,0.33,0.0,0.07,1.26,-1,6,0.0,N
MOVE PLACE_1_3 PLACE_2_3,0.33,0.0,0.1,1.23,-1,7,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.0,0.13,1.87,-1,7,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,0.13,1.37,-1,6,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.18,1.1500000000000001,-1,5,0.0,N
MOVE PLACE_2_3 PLACE_2_2,1.0,0.0,1.0,1.0,-1,0,0.0,N
