o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.1,0.04,1.56,4,11,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.1,0.04,1.3900000000000001,5,12,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.15,0.1,1.38,4,11,0.0,N
MOVE PLACE_1_0 PLACE_1_1,0.5,0.08,0.09,1.49,5,10,0.0,N
MOVE PLACE_1_1 PLACE_1_2,0.5,0.05,0.06,1.49,7,10,0.0,N
MOVE PLACE_1_2 PLACE_1_3,0.33,0.04,0.08,1.29,9,11,0.0,N
MOVE PLACE_1_3 PLACE_2_3,0.33,0.07,0.21,1.19,9,3,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.29,0.25,2.04,8,3,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.02,0.25,1.27,10,2,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.02,0.33,1.02,9,1,0.0,N
MOVE PLACE_2_3 PLACE_2_2,1.0,0.0,1.0,1.0,-1,0,0.0,N
