o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.25,0.56,0.36,0.57,0.41,4.0,6.0,0.0,0.0,0.0,0.0,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.31,0.25,0.38,0.33,0.5,0.4,5.0,7.0,0.0,0.0,0.0,0.14,2.0,N
PICKUP PLACE_0_0 KEY_1,0.33,0.26,0.35,0.29,0.44,0.36,6.0,8.0,0.0,0.14,0.08,0.31,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.31,0.2,0.38,0.25,0.45,0.36,6.0,8.0,0.0,0.21,0.08,0.38,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.2,0.41,0.33,0.5,0.37,6.0,8.0,0.0,0.14,0.0,0.25,1.0,Y
MOVE PLACE_2_0 PLACE_3_0,0.18,0.13,0.3,0.2,0.42,0.31,6.0,10.0,0.14,0.28,0.19,0.35,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.0,0.27,0.18,0.31,0.23,6.0,12.0,0.33,0.55,0.4,0.58,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.04,0.53,0.24,0.5,0.29,0.26,6.0,13.0,0.3,0.5,0.41,0.58,2.0,N
MOVE PLACE_3_1 PLACE_3_0,0.0,0.0,0.24,0.16,0.33,0.25,6.0,13.0,0.35,0.54,0.45,0.54,2.0,N
MOVE PLACE_3_0 PLACE_2_0,0.0,0.07,0.27,0.22,0.33,0.25,6.0,13.0,0.4,0.42,0.45,0.5,1.0,Y
MOVE PLACE_2_0 PLACE_2_1,0.0,0.13,0.22,0.22,0.29,0.33,6.0,13.0,0.46,0.46,0.54,0.54,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.0,0.24,0.21,0.22,0.22,0.33,6.0,13.0,0.57,0.5,0.6,0.54,2.0,N
