o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.07,0.04,1.3599999999999999,4,11,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.12,0.07,1.5499999999999998,3,10,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.17,0.14,1.53,3,10,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.22,0.0,1.55,2,-1,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_2_0 PLACE_3_0,0.5,0.45,0.21,1.74,2,9,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.42,0.19,1.73,3,8,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.5,0.38,1.62,2,7,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.5,0.14,1.8599999999999999,3,6,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.0,0.13,1.37,-1,5,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.18,1.1500000000000001,-1,4,0.0,N
MOVE PLACE_2_3 PLACE_2_2,1.0,0.0,1.0,1.0,-1,0,0.0,N
