o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.33,0.21,0.55,0.36,0.57,0.41,4.0,6.0,0.0,0.1,0.0,0.0,2.0,N
PICKUP PLACE_0_0 KEY_0,0.29,0.14,0.44,0.31,0.5,0.36,5.0,7.0,0.0,0.17,0.0,0.29,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.31,0.22,0.46,0.31,0.5,0.4,5.0,7.0,0.0,0.25,0.0,0.21,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.38,0.22,0.5,0.4,0.56,0.41,5.0,7.0,0.0,0.0,0.0,0.14,1.0,Y
MOVE PLACE_2_0 PLACE_3_0,0.2,0.14,0.35,0.24,0.45,0.34,5.0,9.0,0.0,0.19,0.14,0.28,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.0,0.32,0.21,0.33,0.25,5.0,11.0,0.38,0.5,0.33,0.55,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.04,0.56,0.27,0.56,0.31,0.27,5.0,12.0,0.33,0.45,0.4,0.54,2.0,N
MOVE PLACE_3_1 PLACE_3_0,0.04,0.0,0.27,0.18,0.36,0.27,5.0,12.0,0.28,0.5,0.4,0.5,2.0,N
MOVE PLACE_3_0 PLACE_2_0,0.0,0.07,0.3,0.25,0.36,0.27,5.0,12.0,0.33,0.45,0.4,0.42,1.0,Y
MOVE PLACE_2_0 PLACE_2_1,0.0,0.14,0.25,0.25,0.31,0.35,5.0,12.0,0.41,0.41,0.5,0.5,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.0,0.25,0.23,0.25,0.24,0.35,5.0,12.0,0.54,0.45,0.57,0.5,2.0,N
