o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.33,0.21,0.55,0.36,0.57,0.41,4.0,6.0,0.0,0.1,0.0,0.0,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.25,0.55,0.36,0.57,0.44,4.0,6.0,0.0,0.1,0.0,0.08,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.43,0.25,0.58,0.46,0.62,0.45,4.0,6.0,0.0,0.0,0.0,0.0,1.0,Y
MOVE PLACE_2_0 PLACE_3_0,0.22,0.16,0.4,0.27,0.5,0.37,4.0,8.0,0.0,0.07,0.0,0.19,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.0,0.35,0.24,0.37,0.27,4.0,10.0,0.29,0.44,0.25,0.5,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.05,0.59,0.3,0.6,0.34,0.29,4.0,11.0,0.25,0.4,0.33,0.5,2.0,N
MOVE PLACE_3_1 PLACE_3_0,0.09,0.0,0.3,0.2,0.38,0.29,4.0,11.0,0.19,0.45,0.33,0.45,2.0,N
MOVE PLACE_3_0 PLACE_2_0,0.0,0.08,0.33,0.27,0.38,0.29,4.0,11.0,0.25,0.4,0.33,0.36,1.0,Y
MOVE PLACE_2_0 PLACE_2_1,0.0,0.15,0.27,0.27,0.33,0.38,4.0,11.0,0.35,0.35,0.45,0.45,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.0,0.27,0.25,0.27,0.25,0.38,4.0,11.0,0.5,0.4,0.54,0.45,2.0,N
