o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.1,0.04,1.56,4,11,1.0,N
PICKUP PLACE_0_0 KEY_0,0.5,0.12,0.07,1.5499999999999998,3,10,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.17,0.14,1.53,3,10,1.0,N
MOVE PLACE_0_0 PLACE_0_1,0.5,0.12,0.13,1.49,4,9,0.0,N
MOVE PLACE_0_1 PLACE_0_2,0.5,0.08,0.06,1.52,5,7,0.0,N
MOVE PLACE_0_2 PLACE_0_3,0.5,0.0,0.05,1.45,-1,6,0.0,N
MOVE PLACE_0_3 PLACE_1_3,0.33,0.0,0.07,1.26,-1,5,0.0,N
MOVE PLACE_1_3 PLACE_2_3,0.33,0.0,0.1,1.23,-1,6,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.0,0.13,1.87,-1,6,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,0.13,1.37,-1,5,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.18,1.1500000000000001,-1,4,0.0,N
MOVE PLACE_2_3 PLACE_2_2,1.0,0.0,1.0,1.0,-1,0,0.0,N
