o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.28,0.05,1.73,4,15,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.5,1.0,0.0,2.5,0,-1,0.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_1_0 PLACE_1_1,0.5,0.36,0.08,1.78,4,9,0.0,N
MOVE PLACE_1_1 PLACE_1_2,0.5,0.23,0.08,1.65,6,8,0.0,N
MOVE PLACE_1_2 PLACE_1_3,0.33,0.17,0.18,1.32,6,6,0.0,N
MOVE PLACE_1_3 PLACE_2_3,0.33,0.21,0.19,1.35,6,5,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.25,0.62,1.63,6,5,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.25,0.62,1.13,5,4,0.0,N
MOVE PLACE_3_3 PLACE_3_2,0.5,0.25,0.5,1.25,6,3,0.0,N
MOVE PLACE_3_2 PLACE_3_1,0.5,0.25,0.5,1.25,7,2,0.0,N
MOVE PLACE_3_1 PLACE_3_0,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_0 PLACE_2_0,1.0,0.0,1.0,1.0,-1,0,0.0,N
