o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.5,0.33,0.64,0.56,0.67,0.57,3.0,4.0,0.0,0.0,0.0,0.0,0.5,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.43,0.31,0.46,0.38,0.58,0.5,4.0,5.0,0.0,0.0,0.0,0.0,0.5,N
PICKUP PLACE_0_0 KEY_1,0.38,0.33,0.44,0.35,0.56,0.44,5.0,6.0,0.0,0.0,0.0,0.08,0.5,N
MOVE PLACE_0_0 PLACE_0_1,0.3,0.2,0.33,0.28,0.41,0.36,7.0,8.0,0.0,0.21,0.14,0.31,0.5,N
MOVE PLACE_0_1 PLACE_0_2,0.18,0.22,0.25,0.24,0.34,0.31,9.0,10.0,0.31,0.33,0.44,0.45,0.5,N
MOVE PLACE_0_2 PLACE_0_3,0.29,0.53,0.26,0.54,0.24,0.22,11.0,12.0,0.4,0.5,0.5,0.54,0.5,N
MOVE PLACE_0_3 PLACE_1_3,0.53,0.27,0.57,0.26,0.23,0.23,12.0,12.0,0.45,0.45,0.5,0.54,0.5,N
MOVE PLACE_1_3 PLACE_2_3,0.41,0.14,0.45,0.19,0.21,0.27,13.0,12.0,0.54,0.5,0.54,0.58,0.5,N
MOVE PLACE_2_3 PLACE_3_3,0.18,0.16,0.25,0.21,0.18,0.2,15.0,14.0,0.64,0.54,0.63,0.57,0.5,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.4,0.41,0.42,0.43,0.17,0.22,16.0,15.0,0.67,0.57,0.69,0.63,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.29,0.12,0.38,0.15,0.17,0.23,16.0,15.0,0.67,0.61,0.69,0.67,0.5,N
MOVE PLACE_2_3 PLACE_1_3,0.33,0.33,0.46,0.38,0.17,0.17,17.0,17.0,0.62,0.62,0.68,0.68,0.5,N
MOVE PLACE_1_3 PLACE_1_2,0.11,0.19,0.14,0.27,0.2,0.19,17.0,18.0,0.59,0.68,0.62,0.72,0.5,N
UNLOCK PLACE_1_2 PLACE_1_1 KEY_1 SHAPE_1,0.11,0.1,0.16,0.15,0.2,0.19,17.0,18.0,0.56,0.68,0.62,0.72,0.5,N
MOVE PLACE_1_2 PLACE_1_1,0.11,0.1,0.18,0.15,0.27,0.19,17.0,18.0,0.59,0.65,0.65,0.67,0.5,N
MOVE PLACE_1_1 PLACE_1_0,0.19,0.1,0.19,0.18,0.27,0.19,17.0,18.0,0.62,0.65,0.65,0.67,1.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.09,0.18,0.17,0.19,0.18,0.26,17.0,18.0,0.64,0.65,0.68,0.67,0.5,N
