o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.33,0.62,0.55,0.67,0.57,3.0,4.0,0.0,0.0,0.0,0.0,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.5,0.33,0.64,0.55,0.71,0.57,3.0,4.0,0.0,0.0,0.0,0.0,1.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.5,0.33,0.48,0.43,0.67,0.5,3.0,5.0,0.0,0.0,0.0,0.0,1.0,Y
MOVE PLACE_1_0 PLACE_1_1,0.33,0.22,0.38,0.31,0.5,0.4,3.0,7.0,0.0,0.17,0.0,0.21,0.5,N
MOVE PLACE_1_1 PLACE_1_2,0.18,0.2,0.28,0.26,0.37,0.34,3.0,9.0,0.0,0.31,0.19,0.44,0.5,N
MOVE PLACE_1_2 PLACE_1_3,0.31,0.58,0.21,0.54,0.32,0.29,3.0,11.0,0.39,0.4,0.5,0.5,0.5,N
MOVE PLACE_1_3 PLACE_2_3,0.28,0.26,0.29,0.27,0.16,0.29,3.0,11.0,0.45,0.45,0.54,0.55,0.5,N
MOVE PLACE_2_3 PLACE_3_3,0.22,0.22,0.26,0.26,0.14,0.22,3.0,13.0,0.58,0.54,0.61,0.62,0.5,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.33,0.35,0.27,0.41,0.13,0.24,3.0,14.0,0.57,0.54,0.63,0.61,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.22,0.28,0.23,0.32,0.13,0.24,3.0,14.0,0.57,0.58,0.63,0.64,0.5,N
MOVE PLACE_2_3 PLACE_2_2,0.32,0.12,0.33,0.23,0.22,0.24,3.0,14.0,0.61,0.46,0.67,0.54,0.5,N
MOVE PLACE_2_2 PLACE_2_1,0.0,0.13,0.19,0.23,0.22,0.3,3.0,14.0,0.64,0.5,0.7,0.57,0.5,N
MOVE PLACE_2_1 PLACE_2_0,0.0,0.15,0.22,0.25,0.22,0.32,3.0,14.0,0.54,0.54,0.6,0.57,0.5,N
