o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.13,0.03,1.43,5,15,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.33,0.07,1.76,4,14,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.5,0.08,1.92,1,11,1.0,N
MOVE PLACE_0_0 PLACE_0_1,0.5,0.34,0.07,1.77,6,12,0.0,N
MOVE PLACE_0_1 PLACE_0_2,0.5,0.26,0.05,1.71,7,11,0.0,N
MOVE PLACE_0_2 PLACE_0_3,0.5,0.28,0.12,1.6600000000000001,7,9,0.0,N
MOVE PLACE_0_3 PLACE_1_3,0.33,0.33,0.11,1.55,5,8,0.0,N
MOVE PLACE_1_3 PLACE_2_3,0.33,0.1,0.12,1.31,8,9,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.12,0.36,1.7600000000000002,8,8,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.12,0.36,1.26,7,7,0.0,N
MOVE PLACE_3_3 PLACE_3_2,0.5,0.12,0.23,1.3900000000000001,8,8,0.0,N
MOVE PLACE_3_2 PLACE_3_1,0.5,0.12,0.23,1.3900000000000001,9,8,0.0,N
MOVE PLACE_3_1 PLACE_3_0,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_0 PLACE_2_0,1.0,0.0,1.0,1.0,-1,0,0.0,N
