o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.5,0.33,0.64,0.56,0.67,0.57,3.0,4.0,0.0,0.0,0.0,0.0,0.5,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.43,0.31,0.46,0.38,0.58,0.5,4.0,5.0,0.0,0.0,0.0,0.0,0.5,N
PICKUP PLACE_0_0 KEY_1,0.38,0.33,0.44,0.35,0.56,0.44,5.0,6.0,0.0,0.0,0.0,0.08,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.4,0.31,0.44,0.38,0.56,0.45,5.0,6.0,0.0,0.0,0.0,0.08,1.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.44,0.36,0.35,0.32,0.55,0.4,5.0,7.0,0.0,0.0,0.0,0.14,1.0,Y
MOVE PLACE_1_0 PLACE_0_0,0.36,0.31,0.3,0.27,0.46,0.34,5.0,9.0,0.07,0.25,0.25,0.33,0.5,N
MOVE PLACE_0_0 PLACE_0_1,0.31,0.15,0.26,0.22,0.31,0.29,5.0,11.0,0.33,0.45,0.4,0.55,0.5,N
MOVE PLACE_0_1 PLACE_0_2,0.15,0.25,0.2,0.22,0.27,0.26,5.0,13.0,0.5,0.5,0.58,0.58,0.5,N
MOVE PLACE_0_2 PLACE_0_3,0.53,0.5,0.38,0.34,0.24,0.14,5.0,15.0,0.54,0.54,0.61,0.6,0.5,N
MOVE PLACE_0_3 PLACE_1_3,0.24,0.42,0.22,0.42,0.24,0.22,5.0,15.0,0.58,0.57,0.64,0.63,0.5,N
MOVE PLACE_1_3 PLACE_2_3,0.23,0.22,0.28,0.21,0.13,0.23,5.0,15.0,0.63,0.61,0.69,0.67,0.5,N
MOVE PLACE_2_3 PLACE_3_3,0.24,0.2,0.27,0.2,0.11,0.17,5.0,17.0,0.68,0.66,0.69,0.71,0.5,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.27,0.35,0.28,0.33,0.11,0.19,5.0,18.0,0.67,0.65,0.71,0.69,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.19,0.19,0.24,0.25,0.11,0.19,5.0,18.0,0.67,0.68,0.71,0.72,0.5,N
MOVE PLACE_2_3 PLACE_2_2,0.23,0.1,0.26,0.18,0.18,0.19,5.0,18.0,0.69,0.59,0.74,0.64,0.5,N
MOVE PLACE_2_2 PLACE_2_1,0.1,0.18,0.15,0.19,0.18,0.26,5.0,18.0,0.61,0.62,0.66,0.67,0.5,N
MOVE PLACE_2_1 PLACE_2_0,0.09,0.14,0.18,0.19,0.18,0.26,5.0,18.0,0.64,0.65,0.68,0.67,0.5,N
