o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.79,0.33,0.74,0.52,0.4,5.0,7.0,0.0,0.0,0.0,0.07,0.25,N
PICKUP PLACE_0_0 KEY_0,0.5,0.25,0.38,0.29,0.56,0.41,5.0,7.0,0.0,0.0,0.0,0.14,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.11,0.64,0.29,0.67,0.4,0.26,7.0,9.0,0.17,0.38,0.07,0.39,0.5,N
MOVE PLACE_1_0 PLACE_2_0,0.05,0.35,0.26,0.47,0.33,0.23,9.0,10.0,0.25,0.39,0.39,0.45,0.5,N
MOVE PLACE_2_0 PLACE_3_0,-0.09,0.29,0.22,0.38,0.29,0.17,11.0,12.0,0.6,0.5,0.5,0.54,0.5,N
MOVE PLACE_3_0 PLACE_3_1,-0.08,0.57,0.2,0.61,0.22,0.22,13.0,13.0,0.5,0.46,0.54,0.46,0.5,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.1,0.25,0.18,0.24,0.22,0.25,14.0,13.0,0.46,0.46,0.54,0.5,0.5,N
MOVE PLACE_3_1 PLACE_3_2,0.17,0.13,0.2,0.21,0.13,0.25,16.0,13.0,0.5,0.54,0.56,0.62,0.5,N
MOVE PLACE_3_2 PLACE_3_3,0.22,0.13,0.2,0.17,0.21,0.25,16.0,13.0,0.53,0.62,0.59,0.69,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.11,0.13,0.17,0.17,0.21,0.25,16.0,13.0,0.57,0.58,0.62,0.58,0.5,N
MOVE PLACE_2_3 PLACE_1_3,0.0,0.19,0.14,0.24,0.22,0.29,16.0,13.0,0.6,0.5,0.66,0.5,0.5,N
MOVE PLACE_1_3 PLACE_0_3,0.05,0.19,0.19,0.24,0.22,0.33,16.0,13.0,0.5,0.42,0.56,0.46,0.5,N
