o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.09,0.02,1.4,5,11,0.6,N
PICKUP PLACE_0_0 KEY_1,0.5,0.17,0.03,1.6400000000000001,4,10,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.05,0.04,1.3399999999999999,8,11,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.09,0.09,1.33,7,10,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.05,0.28,1.1,7,7,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.04,0.17,1.37,8,5,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.16,0.23,1.26,10,4,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.17,0.1,1.4,9,4,0.4,N
MOVE PLACE_2_3 PLACE_1_3,0.33,0.07,0.18,1.2200000000000002,10,4,0.4,N
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.4,N
