o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.09,0.02,1.4,5,11,0.6,N
PICKUP PLACE_0_0 KEY_1,0.5,0.17,0.03,1.6400000000000001,4,10,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.05,0.04,1.3399999999999999,8,11,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.04,0.16,1.21,7,10,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.04,0.11,1.4300000000000002,7,8,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.04,0.11,1.4300000000000002,7,8,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.08,0.28,1.2999999999999998,7,8,0.4,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.04,0.12,1.42,8,6,0.4,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.12,0.12,1.5,9,5,0.4,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.02,0.17,1.18,8,4,0.4,N
MOVE PLACE_2_3 PLACE_1_3,0.33,0.02,0.25,1.1,9,3,0.4,N
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.4,N
