o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.5,0.25,0.38,0.29,0.58,0.41,4.0,6.0,0.0,0.0,0.0,0.0,0.5,N
PICKUP PLACE_0_0 KEY_1,0.5,0.25,0.38,0.29,0.56,0.41,5.0,7.0,0.0,0.0,0.0,0.14,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.11,0.64,0.29,0.67,0.4,0.26,7.0,9.0,0.17,0.38,0.07,0.39,0.5,N
MOVE PLACE_1_0 PLACE_2_0,0.05,0.35,0.26,0.47,0.33,0.23,9.0,10.0,0.25,0.39,0.39,0.45,0.5,N
MOVE PLACE_2_0 PLACE_2_1,0.23,0.25,0.27,0.29,0.26,0.26,11.0,10.0,0.35,0.44,0.45,0.5,0.5,N
MOVE PLACE_2_1 PLACE_2_2,0.28,0.31,0.35,0.37,0.16,0.26,13.0,10.0,0.5,0.44,0.54,0.5,0.5,N
MOVE PLACE_2_2 PLACE_2_3,0.14,0.17,0.22,0.25,0.25,0.31,13.0,10.0,0.46,0.44,0.54,0.45,0.5,N
MOVE PLACE_2_3 PLACE_3_3,0.12,0.14,0.2,0.22,0.2,0.27,15.0,12.0,0.54,0.59,0.6,0.54,0.5,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.21,0.13,0.21,0.19,0.21,0.25,16.0,13.0,0.53,0.62,0.59,0.69,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.11,0.13,0.18,0.19,0.21,0.25,16.0,13.0,0.57,0.58,0.62,0.58,0.5,N
MOVE PLACE_2_3 PLACE_1_3,0.0,0.19,0.15,0.26,0.22,0.29,16.0,13.0,0.6,0.5,0.66,0.5,0.5,N
MOVE PLACE_1_3 PLACE_0_3,0.0,0.19,0.21,0.26,0.22,0.33,16.0,13.0,0.5,0.42,0.56,0.46,0.5,N
