o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.79,0.33,0.74,0.52,0.4,5.0,7.0,0.0,0.0,0.0,0.07,0.25,N
MOVE PLACE_0_0 PLACE_1_0,0.0,0.69,0.29,0.74,0.4,0.33,7.0,8.0,0.17,0.21,0.0,0.19,0.25,N
MOVE PLACE_1_0 PLACE_2_0,0.0,0.36,0.26,0.53,0.33,0.28,9.0,9.0,0.5,0.38,0.44,0.39,0.25,N
MOVE PLACE_2_0 PLACE_2_1,-0.09,0.27,0.24,0.33,0.26,0.28,11.0,9.0,0.6,0.25,0.45,0.33,0.25,N
MOVE PLACE_2_1 PLACE_2_2,0.07,0.33,0.22,0.5,0.23,0.28,13.0,9.0,0.62,0.38,0.5,0.5,0.25,N
MOVE PLACE_2_2 PLACE_2_3,0.18,0.18,0.23,0.29,0.2,0.34,15.0,9.0,0.64,0.38,0.53,0.33,0.25,N
MOVE PLACE_2_3 PLACE_3_3,0.13,0.15,0.21,0.25,0.17,0.29,17.0,11.0,0.69,0.55,0.56,0.5,0.25,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.29,0.14,0.31,0.21,0.12,0.27,18.0,12.0,0.71,0.59,0.61,0.67,0.25,N
MOVE PLACE_3_3 PLACE_2_3,0.15,0.14,0.19,0.21,0.17,0.27,18.0,12.0,0.71,0.5,0.61,0.5,0.25,N
MOVE PLACE_2_3 PLACE_1_3,0.19,0.14,0.28,0.29,0.17,0.31,19.0,12.0,0.67,0.45,0.63,0.5,0.25,N
MOVE PLACE_1_3 PLACE_0_3,0.23,0.14,0.3,0.29,0.16,0.35,21.0,12.0,0.7,0.27,0.67,0.33,0.25,N
