o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.79,0.33,0.74,0.52,0.4,5.0,7.0,0.0,0.0,0.0,0.07,0.25,N
PICKUP PLACE_0_0 KEY_0,0.5,0.25,0.38,0.29,0.56,0.41,5.0,7.0,0.0,0.0,0.0,0.14,0.5,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.44,0.32,0.41,0.31,0.6,0.41,5.0,7.0,0.0,0.0,0.0,0.07,0.75,N
MOVE PLACE_0_0 PLACE_1_0,0.25,0.7,0.33,0.64,0.41,0.3,7.0,9.0,0.0,0.25,0.14,0.39,0.75,N
MOVE PLACE_1_0 PLACE_2_0,0.11,0.65,0.26,0.62,0.34,0.18,9.0,11.0,0.31,0.45,0.28,0.5,0.75,N
MOVE PLACE_2_0 PLACE_3_0,0.0,0.63,0.22,0.54,0.29,0.15,11.0,13.0,0.45,0.5,0.45,0.54,0.75,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.55,0.22,0.55,0.22,0.21,13.0,14.0,0.54,0.54,0.5,0.57,0.75,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.13,0.27,0.21,0.26,0.24,0.24,14.0,14.0,0.5,0.5,0.57,0.57,0.75,N
MOVE PLACE_3_1 PLACE_3_2,0.12,0.12,0.19,0.19,0.17,0.24,16.0,14.0,0.53,0.54,0.59,0.61,0.75,N
MOVE PLACE_3_2 PLACE_3_3,0.21,0.12,0.2,0.15,0.21,0.24,16.0,14.0,0.57,0.65,0.62,0.71,0.75,N
MOVE PLACE_3_3 PLACE_2_3,0.11,0.12,0.17,0.15,0.21,0.24,16.0,14.0,0.6,0.62,0.66,0.61,0.75,N
MOVE PLACE_2_3 PLACE_1_3,0.11,0.18,0.17,0.21,0.21,0.28,16.0,14.0,0.57,0.54,0.59,0.57,0.75,N
MOVE PLACE_1_3 PLACE_0_3,0.11,0.17,0.19,0.21,0.29,0.32,16.0,14.0,0.53,0.46,0.59,0.5,0.75,N
