o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.79,0.33,0.74,0.52,0.4,5.0,7.0,0.0,0.0,0.0,0.07,0.25,N
MOVE PLACE_0_0 PLACE_1_0,0.0,0.69,0.29,0.74,0.4,0.33,7.0,8.0,0.17,0.21,0.0,0.19,0.25,N
MOVE PLACE_1_0 PLACE_2_0,0.0,0.36,0.26,0.53,0.33,0.28,9.0,9.0,0.5,0.38,0.44,0.39,0.25,N
MOVE PLACE_2_0 PLACE_3_0,-0.09,0.32,0.22,0.42,0.27,0.18,11.0,11.0,0.6,0.45,0.36,0.45,0.25,N
MOVE PLACE_3_0 PLACE_3_1,-0.04,0.6,0.2,0.65,0.23,0.24,13.0,12.0,0.67,0.41,0.42,0.42,0.25,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,-0.07,0.27,0.18,0.24,0.21,0.27,14.0,12.0,0.69,0.41,0.64,0.46,0.25,N
MOVE PLACE_3_1 PLACE_3_2,-0.06,0.14,0.16,0.21,0.19,0.27,16.0,12.0,0.63,0.5,0.56,0.58,0.25,N
MOVE PLACE_3_2 PLACE_3_3,0.29,0.14,0.29,0.19,0.12,0.27,18.0,12.0,0.71,0.59,0.61,0.67,0.25,N
MOVE PLACE_3_3 PLACE_2_3,0.13,0.14,0.18,0.19,0.17,0.27,18.0,12.0,0.71,0.5,0.61,0.5,0.25,N
MOVE PLACE_2_3 PLACE_1_3,0.26,0.14,0.26,0.26,0.17,0.31,19.0,12.0,0.67,0.45,0.63,0.5,0.25,N
MOVE PLACE_1_3 PLACE_0_3,0.26,0.14,0.29,0.26,0.16,0.35,21.0,12.0,0.7,0.27,0.67,0.33,0.25,N
