o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.09,0.02,1.4,5,11,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.33,0.18,0.01,1.5,3,12,0.6,N
PICKUP PLACE_0_0 KEY_1,0.5,0.29,0.02,1.77,3,11,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.22,0.06,1.49,3,9,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.33,0.2,1.46,2,8,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.17,0.37,1.13,3,7,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.0,0.17,1.33,-1,5,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.0,0.23,1.1,-1,4,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.0,0.1,1.23,-1,4,0.4,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.0,0.12,1.88,-1,4,0.4,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,0.12,1.38,-1,3,0.4,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.17,1.16,-1,2,0.4,N
MOVE PLACE_2_3 PLACE_1_3,0.33,0.0,0.33,1.0,-1,1,0.4,N
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.4,N
