o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.5,0.25,0.38,0.29,0.58,0.41,4.0,6.0,0.0,0.0,0.0,0.0,0.5,N
PICKUP PLACE_0_0 KEY_1,0.5,0.25,0.38,0.29,0.56,0.41,5.0,7.0,0.0,0.0,0.0,0.14,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.11,0.64,0.29,0.67,0.4,0.26,7.0,9.0,0.17,0.38,0.07,0.39,0.5,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.21,0.48,0.25,0.52,0.38,0.34,8.0,9.0,0.0,0.31,0.12,0.44,0.5,N
MOVE PLACE_1_0 PLACE_2_0,0.08,0.53,0.23,0.53,0.32,0.18,10.0,11.0,0.33,0.5,0.45,0.5,0.5,N
MOVE PLACE_2_0 PLACE_3_0,0.0,0.47,0.19,0.45,0.28,0.15,12.0,13.0,0.45,0.54,0.54,0.54,0.5,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.55,0.18,0.55,0.24,0.21,14.0,14.0,0.54,0.58,0.57,0.57,0.5,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.22,0.24,0.19,0.26,0.23,0.24,15.0,14.0,0.5,0.54,0.57,0.61,0.5,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.12,0.37,0.19,0.13,0.24,17.0,14.0,0.53,0.58,0.59,0.64,0.5,N
MOVE PLACE_3_2 PLACE_3_3,0.36,0.12,0.36,0.15,0.21,0.24,17.0,14.0,0.56,0.65,0.62,0.71,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.29,0.12,0.25,0.15,0.21,0.24,17.0,14.0,0.59,0.62,0.65,0.64,0.5,N
MOVE PLACE_2_3 PLACE_1_3,0.11,0.13,0.12,0.21,0.21,0.28,17.0,14.0,0.62,0.54,0.68,0.57,0.5,N
MOVE PLACE_1_3 PLACE_0_3,0.1,0.17,0.18,0.21,0.21,0.32,17.0,14.0,0.53,0.46,0.59,0.5,0.5,N
