o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.79,0.33,0.74,0.52,0.4,5.0,7.0,0.0,0.0,0.0,0.07,0.25,N
MOVE PLACE_0_0 PLACE_1_0,0.0,0.69,0.29,0.74,0.4,0.33,7.0,8.0,0.17,0.21,0.0,0.19,0.25,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.0,0.5,0.25,0.58,0.38,0.38,8.0,8.0,0.0,0.14,0.19,0.25,0.25,N
MOVE PLACE_1_0 PLACE_2_0,0.0,0.57,0.23,0.55,0.32,0.2,10.0,10.0,0.5,0.33,0.6,0.4,0.25,N
MOVE PLACE_2_0 PLACE_2_1,0.0,0.31,0.21,0.35,0.28,0.31,12.0,10.0,0.55,0.33,0.62,0.4,0.25,N
MOVE PLACE_2_1 PLACE_2_2,0.25,0.33,0.33,0.44,0.19,0.31,14.0,10.0,0.58,0.44,0.64,0.55,0.25,N
MOVE PLACE_2_2 PLACE_2_3,0.22,0.17,0.28,0.24,0.14,0.31,16.0,10.0,0.67,0.44,0.56,0.4,0.25,N
MOVE PLACE_2_3 PLACE_3_3,0.2,0.14,0.26,0.21,0.12,0.27,18.0,12.0,0.68,0.59,0.58,0.62,0.25,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.31,0.13,0.31,0.18,0.12,0.25,19.0,13.0,0.75,0.62,0.79,0.69,0.25,N
MOVE PLACE_3_3 PLACE_2_3,0.19,0.13,0.24,0.18,0.12,0.25,19.0,13.0,0.67,0.5,0.71,0.54,0.25,N
MOVE PLACE_2_3 PLACE_1_3,0.1,0.13,0.15,0.25,0.19,0.34,19.0,13.0,0.69,0.5,0.74,0.54,0.25,N
MOVE PLACE_1_3 PLACE_0_3,0.0,0.12,0.13,0.25,0.18,0.33,21.0,13.0,0.72,0.33,0.76,0.38,0.25,N
