o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.14,0.02,1.62,6,11,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.03,0.03,1.33,9,11,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.02,0.1,1.25,8,11,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.02,0.06,1.46,8,11,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.02,0.06,1.46,8,11,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.04,0.15,1.3900000000000001,8,10,0.4,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.02,0.06,1.46,9,10,0.4,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.06,0.06,1.5,10,12,0.4,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.01,0.07,1.27,9,9,0.4,N
MOVE PLACE_2_3 PLACE_1_3,0.33,0.01,0.09,1.25,10,10,0.4,N
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.4,N
